 18322  662  171 1 26.49  1.98 21.47 0.51   7.17 21.34 0.41   4.97 0.72 3.6766 0.0033 -0.425 0.022 -0.643 0.022 4.622 0.066 0 0 0 0 0 0 2 4 0
 18327 1253  868 1 24.16  1.40 24.43 0.41   0.92 24.01 0.35  11.01 0.90 3.7078 0.0027 -0.267 0.011 -0.366 0.015 4.590 0.052 0 0 0 0 0 0 2 1 0
 18617 4718  634 1 10.38  2.61 13.59 0.79  30.30 12.46 0.39  80.63 1.68 0      0       0     0      0     0     0     0     0 0 0 2 1 0 0 8 0
 18658  662  633 1 25.42  1.05 23.56 0.71   6.22 23.58 0.40   0.40 1.36 3.8264 0.0036  0.002 0.003  0.613 0.026 4.329 0.044 0 1 0 0 2 0 2 1 0
 18692  665 1120 1 10.93  1.19 10.01 0.35  86.55 10.11 0.33  60.79 1.34 0      0       0     0      0     0     0     0     0 0 0 0 0 0 0 4 0
 18735 1254  866 1 21.99  0.81 22.06 0.29   0.18 22.19 0.28   1.65 1.57 3.8554 0.0035  0.028 0.003  0.844 0.011 4.291 0.033 1 0 1 1 0 0 2 1 0
 18946 1258  768 1 23.07  2.12 20.98 0.55   2.19 21.20 0.42   0.01 0.76 3.6724 0.0262 -0.455 0.186 -0.611 0.078 4.627 0.142 0 0 0 0 0 0 2 1 0
 19082 1258  652 1 14.56  3.17 20.82 0.68   5.00 21.58 0.46   0.77 0.72 3.5959 0.0033 -1.131 0.028 -0.850 0.030 4.723 0.069 0 0 0 0 0 0 2 4 0
 19098 1254  178 1 19.81  1.39 22.10 0.42   2.92 22.24 0.34   0.03 0.92 3.7088 0.0027 -0.264 0.011 -0.409 0.017 4.589 0.051 0 0 0 0 0 0 2 1 0
 19148 1250  686 1 21.41  1.47 20.88 0.35   1.21 20.93 0.38   0.86 1.14 3.7769 0.0026 -0.086 0.003  0.153 0.015 4.464 0.042 0 0 0 0 0 0 2 1 0
 19207 1250    4 1 23.57  2.26 21.66 0.51   1.72 22.11 0.53   1.27 0.70 3.6580 0.0031 -0.566 0.026 -0.742 0.023 4.646 0.067 0 0 0 0 0 0 2 1 0
 19261 1250   74 1 21.27  1.03 22.62 0.35   2.22 23.37 0.60   1.12 2.46 3.8322 0.0032  0.009 0.002  0.778 0.013 4.316 0.026 0 0 0 1 1 1 2 1 0
 19263 1250  414 1 19.70  1.68 21.76 0.43   1.81 21.87 0.43   2.82 0.83 3.6879 0.0030 -0.357 0.019 -0.610 0.019 4.610 0.057 0 0 0 0 0 0 2 1 0
 19316  674   79 1 24.90  2.59 20.84 0.71   2.94 21.21 0.49   1.18 0.60 3.6158 0.0025 -0.883 0.022 -0.898 0.031 4.670 0.079 0 0 0 0 0 0 2 1 0
 19365 1826 1301 1 10.68  1.43 14.68 0.37   9.34 14.82 0.32   0.12 2.56 3.7651 0.0025 -0.108 0.004  0.300 0.022 4.495 0.029 1 0 0 1 0 0 2 4 0
 19386   73  698 1 15.37  0.97 11.82 0.40  29.64 11.65 0.32  10.87 1.31 0      0       0     0      0     0     0     0     0 0 0 0 0 0 0 4 0
 19441  666   35 1 29.78  1.90 28.33 0.58   0.70 27.83 0.64   0.25 0.69 3.6558 0.0023 -0.583 0.019 -0.813 0.019 4.649 0.067 0 0 0 0 0 0 2 1 0
 19449   76  521 1 12.14  2.03  8.75 0.70   5.22  8.64 0.41   2.76 0.97 0      0       0     0      0     0     0     0     0 0 0 0 0 0 0 7 0
 19504 1255  312 1 23.22  0.92 22.52 0.31   0.74 22.06 0.30   0.00 1.36 3.8235 0.0029 -0.002 0.002  0.550 0.012 4.336 0.036 0 0 0 0 0 1 2 1 0
 19554   80 1093 1 25.89  0.95 26.55 0.34   9.33 26.83 0.31   8.36 1.51 3.8433 0.0041  0.017 0.001  0.759 0.011 4.301 0.035 1 1 1 1 0 0 2 1 0
 19591 1815  309 1 27.21  2.11 25.23 0.54   0.91 26.12 0.38   0.00 1.48 3.6732 0.0033 -0.449 0.023 -0.478 0.021 4.626 0.038 0 0 1 2 1 3 2 1 0
 19781  679  597 1 21.91  1.27 19.83 0.41   4.29 20.20 0.40   1.93 1.01 3.7513 0.0027 -0.141 0.005 -0.020 0.018 4.526 0.048 0 0 0 0 0 0 2 1 0
