53625.150911 r 16.394 0.005
53625.151744 i 16.097 0.005
53625.152578 u 18.567 0.020
53625.153411 z 15.950 0.007
53625.154244 g 17.084 0.005
53636.109948 r 16.407 0.005
53636.110781 i 16.093 0.005
53636.111615 u 18.573 0.019
53636.112448 z 15.964 0.007
53636.113281 g 17.069 0.005
53645.169616 r 16.378 0.004
53645.170449 i 16.116 0.004
53645.171283 u 18.553 0.020
53645.172116 z 15.946 0.006
53645.172949 g 17.081 0.004
53655.081952 r 16.394 0.005
53655.082785 i 16.107 0.005
53655.083619 u 18.584 0.022
#53655.084452 z -99.000 0.007
53655.085285 g 17.079 0.005
53681.103284 r 16.395 0.005
53681.104117 i 16.104 0.006
53681.104951 u 18.473 0.027
53681.105784 z 15.955 0.009
53681.106617 g 17.064 0.006
53687.100681 r 16.385 0.004
53687.101514 i 16.113 0.004
53687.102348 u 18.574 0.037
53687.103181 z 15.955 0.007
53687.104014 g 17.067 0.006
53697.060309 r 16.410 0.012
#53697.061142 i -99.000 0.013
53697.061976 u 18.502 0.071
#53697.062809 z -99.000 0.021
53697.063642 g 17.085 0.012
53700.059273 r 16.394 0.004
53700.060106 i 16.095 0.004
53700.060940 u 18.549 0.021
53700.061773 z 15.960 0.007
53700.062606 g 17.059 0.004
53705.045942 r 16.390 0.004
53705.046775 i 16.101 0.004
53705.047609 u 18.519 0.023
53705.048442 z 15.960 0.007
53705.049275 g 17.086 0.005
53994.126382 r 16.373 0.010
53994.127216 i 16.113 0.017
53994.128049 u 18.567 0.019
53994.128882 z 15.936 0.019
53994.129716 g 17.055 0.023
53998.106289 r 16.358 0.020
53998.107123 i 16.063 0.012
53998.107956 u 18.539 0.019
53998.108789 z 15.952 0.017
53998.109623 g 17.072 0.011
54010.091779 r 16.392 0.005
#54010.092613 i -99.000 0.045
54010.093446 u 18.513 0.023
54010.094279 z 15.951 0.016
54010.095113 g 17.083 0.010
54012.084611 r 16.393 0.009
#54012.085444 i -99.000 0.008
54012.086277 u 18.500 0.026
54012.087111 z 15.930 0.021
54012.087944 g 17.052 0.010
54020.090606 r 16.369 0.055
54020.091439 i 16.098 0.003
54020.092272 u 18.535 0.020
54020.093106 z 15.960 0.015
54020.093939 g 17.067 0.004
54022.140136 r 16.402 0.002
54022.140969 i 16.086 0.049
54022.141803 u 18.548 0.023
54022.142636 z 15.947 0.008
#54022.143469 g -99.000 0.007
54028.080956 r 16.325 0.013
#54028.081789 i -99.000 0.002
#54028.082623 u -99.000 0.028
54028.083456 z 15.983 0.011
54028.084289 g 17.057 0.003
54030.084141 r 16.842 0.036
54030.084975 i 16.395 0.039
#54030.085808 u -99.000 0.359
54030.086641 z 16.414 0.036
54030.087475 g 17.328 0.023
#54032.073736 r -99.000 0.006
54032.074569 i 16.123 0.003
54032.075403 u 18.550 0.025
#54032.076236 z -99.000 0.010
#54032.077069 g -99.000 0.005
#54034.143653 r -99.000 0.008
54034.144486 i 16.074 0.005
54034.145319 u 18.555 0.026
#54034.146153 z -99.000 0.012
#54034.146986 g -99.000 0.003
54037.065379 r 16.370 0.008
54037.066213 i 16.066 0.053
54037.067046 u 18.538 0.021
54037.067879 z 15.931 0.015
54037.068713 g 17.061 0.006
54040.079862 r 16.396 0.006
54040.080696 i 16.086 0.018
54040.081529 u 18.526 0.024
54040.082362 z 15.949 0.018
54040.083196 g 17.071 0.008
54050.064509 r 16.362 0.004
54050.065342 i 16.066 0.003
54050.066176 u 18.538 0.023
54050.067009 z 15.947 0.010
54050.067842 g 17.037 0.007
54056.072350 r 16.395 0.005
54056.073183 i 16.048 0.011
54056.074016 u 18.495 0.030
#54056.074850 z -99.000 0.197
#54056.075683 g -99.000 0.015
54061.077668 r 16.388 0.022
54061.078501 i 16.095 0.010
54061.079335 u 18.591 0.028
54061.080168 z 15.963 0.021
54061.081001 g 17.051 0.028
54068.061502 r 16.386 0.011
54068.062335 i 16.082 0.009
54068.063169 u 18.554 0.031
54068.064002 z 15.946 0.010
54068.064835 g 17.050 0.008
#54357.109805 r -99.000 0.006
54357.110639 i 16.084 0.019
54357.111472 u 18.546 0.022
54357.112305 z 15.939 0.013
54357.113139 g 17.069 0.005
54365.107696 r 16.409 0.006
54365.108530 i 16.021 0.006
54365.109363 u 18.545 0.023
54365.110196 z 15.942 0.012
54365.111030 g 17.064 0.008
54385.157639 r 16.395 0.008
54385.158472 i 16.042 0.002
54385.159306 u 18.557 0.030
54385.160139 z 15.960 0.011
54385.160972 g 17.049 0.010
54387.158133 r 16.365 0.010
54387.158966 i 16.058 0.013
54387.159799 u 18.511 0.025
54387.160633 z 15.912 0.014
54387.161466 g 17.048 0.033
54392.152861 r 16.389 0.002
54392.153694 i 16.105 0.009
54392.154528 u 18.555 0.027
54392.155361 z 15.953 0.017
54392.156194 g 17.071 0.011
