53270.106039 r 18.815 0.009
53270.106872 i 18.495 0.014
53270.107705 u 21.278 0.174
53270.108539 z 18.363 0.035
53270.109372 g 19.479 0.019
53288.083186 r 18.870 0.011
53288.084019 i 18.568 0.011
53288.084853 u 21.076 0.093
53288.085686 z 18.430 0.027
53288.086519 g 19.519 0.014
53626.116380 r 19.024 0.016
53626.117213 i 18.548 0.013
53626.118047 u 21.068 0.182
53626.118880 z 18.692 0.039
53626.119713 g 19.733 0.032
53628.101245 r 18.831 0.019
53628.102078 i 18.598 0.017
53628.102912 u 21.833 0.579
53628.103745 z 20.070 0.157
53628.104578 g 19.567 0.037
53637.102857 r 18.757 0.011
53637.103690 i 18.423 0.012
53637.104524 u 21.162 0.139
53637.105357 z 18.540 0.038
53637.106190 g 19.497 0.016
53656.077518 r 18.824 0.017
53656.078351 i 18.474 0.016
53656.079185 u 21.344 0.419
53656.080018 z 18.344 0.038
53656.080851 g 19.431 0.034
53673.053264 r 18.849 0.012
53673.054097 i 18.554 0.014
53673.054931 u 20.940 0.128
53673.055764 z 18.392 0.032
53673.056597 g 19.471 0.016
53677.071187 r 18.836 0.012
53677.072020 i 18.553 0.013
53677.072854 u 21.057 0.092
53677.073687 z 18.359 0.028
#53677.074520 g -99.000 0.015
53693.059761 r 18.720 0.012
53693.060594 i 18.377 0.012
53693.061428 u 21.090 0.145
53693.062261 z 18.288 0.032
53693.063094 g 19.426 0.017
53989.120452 r 19.901 0.183
53989.121285 i 19.535 0.130
53989.122119 u 21.188 0.100
53989.122952 z 18.384 0.025
53989.123785 g 19.539 0.033
53995.128380 r 18.849 0.010
53995.129213 i 18.592 0.013
53995.130047 u 20.879 0.066
53995.130880 z 18.422 0.028
53995.131713 g 19.511 0.012
54005.078601 r 18.818 0.025
54005.079434 i 18.501 0.034
54005.080268 u 21.176 0.154
54005.081101 z 18.348 0.030
54005.081934 g 19.512 0.019
54009.088467 r 18.882 0.022
54009.089300 i 18.542 0.071
54009.090134 u 21.033 0.125
54009.090967 z 18.416 0.030
54009.091800 g 19.522 0.019
54011.152962 r 18.826 0.012
54011.153795 i 18.516 0.078
54011.154629 u 21.199 0.197
54011.155462 z 18.385 0.030
54011.156295 g 19.487 0.026
54019.103164 r 18.772 0.036
54019.103997 i 18.502 0.014
54019.104831 u 20.952 0.088
54019.105664 z 18.327 0.029
54019.106497 g 19.458 0.012
54025.151981 r 18.867 0.011
54025.152814 i 18.569 0.021
54025.153647 u 20.978 0.101
54025.154481 z 18.360 0.035
54025.155314 g 19.516 0.016
54029.082303 r 18.845 0.010
54029.083136 i 18.559 0.012
54029.083969 u 21.110 0.098
54029.084803 z 18.371 0.039
54029.085636 g 19.480 0.011
#54051.058887 r -99.000 0.028
#54051.059721 i -99.000 0.032
#54051.060554 u -99.000 0.183
#54051.061387 z -99.000 0.043
54051.062221 g 19.472 0.023
54403.068519 r 18.843 0.011
54403.069353 i 18.567 0.020
54403.070186 u 20.843 0.076
54403.071019 z 18.398 0.028
54403.071853 g 19.505 0.012
#54406.062348 r -99.000 0.014
#54406.063182 i -99.000 0.021
54406.064015 u 20.985 0.078
54406.064848 z 18.377 0.052
54406.065682 g 19.505 0.021
54412.065278 r 18.859 0.020
54412.066111 i 18.521 0.018
54412.066945 u 20.881 0.118
54412.067778 z 18.465 0.049
54412.068611 g 19.442 0.018
