Title:   The MACHO Project LMC Variable Star Inventory. XII. 
Three Cepheid Variables in Eclipsing Binaries
Authors: The MACHO Collaboration 
===========================================================
Byte-by-byte Description of file: tab1.txt
-----------------------------------------------------------
   Bytes Format Units   Label     Explanations
-----------------------------------------------------------
   1- 13  F13.5  days    HJD	  Heliocentric Julian Date
  15- 21  F7.4   mag     Vmag     V magnitude
  23- 28  F6.1   mag     e_Vmag   error in V magnitude
  31- 34  A5     ---     Source   Source of obervation
-----------------------------------------------------------
2449400.26810 14.6840 0.0150 MACHO
2449400.99650 14.6610 0.0150 MACHO
2449401.19690 14.6370 0.0150 MACHO
2449405.16280 14.6800 0.0150 MACHO
2449406.09620 14.6410 0.0150 MACHO
2449412.23580 14.6130 0.0210 MACHO
2449412.82760 14.6230 0.0150 MACHO
2449413.95770 14.6690 0.0150 MACHO
2449414.24690 14.6820 0.0150 MACHO
2449414.98590 14.6800 0.0160 MACHO
2449416.94710 14.5980 0.0150 MACHO
2449417.95310 14.6280 0.0150 MACHO
2449423.95920 14.6380 0.0150 MACHO
2449426.09200 14.6160 0.0150 MACHO
2449426.95100 14.6000 0.0150 MACHO
2449428.94370 14.6550 0.0150 MACHO
2449430.05740 14.6800 0.0160 MACHO
2449432.93780 14.6320 0.0150 MACHO
2449434.16580 14.6670 0.0160 MACHO
2449435.05100 14.6850 0.0150 MACHO
2449436.15860 14.6020 0.0150 MACHO
2449437.00410 14.5870 0.0150 MACHO
2449439.04640 14.6890 0.0150 MACHO
2449445.11980 14.7020 0.0150 MACHO
2449447.02380 14.6090 0.0150 MACHO
2449448.09220 14.6530 0.0160 MACHO
2449448.11420 14.6460 0.0150 MACHO
2449448.97960 14.6610 0.0160 MACHO
2449450.02910 14.6780 0.0150 MACHO
2449450.99090 14.6210 0.0150 MACHO
2449451.99620 14.6050 0.0150 MACHO
2449453.03580 14.6310 0.0150 MACHO
2449455.98270 14.6130 0.0150 MACHO
2449457.11700 14.6080 0.0150 MACHO
2449457.97330 14.6280 0.0150 MACHO
2449458.93710 14.6640 0.0150 MACHO
2449460.96420 14.6150 0.0150 MACHO
2449461.98410 14.6110 0.0150 MACHO
2449462.95780 14.6390 0.0150 MACHO
2449462.99900 14.6360 0.0150 MACHO
2449464.01660 14.6820 0.0150 MACHO
2449464.96140 14.6810 0.0150 MACHO
2449468.01190 14.6180 0.0160 MACHO
2449470.06780 14.6630 0.0160 MACHO
2449472.03330 14.6270 0.0210 MACHO
2449473.02090 14.6680 0.0150 MACHO
2449474.04100 14.7130 0.0150 MACHO
2449479.90600 14.6940 0.0150 MACHO
2449479.93880 14.6630 0.0150 MACHO
2449479.96240 14.7000 0.0150 MACHO
2449482.00910 14.6100 0.0150 MACHO
2449483.98240 14.6860 0.0170 MACHO
2449483.99270 14.6830 0.0150 MACHO
2449485.95290 14.6030 0.0150 MACHO
2449486.94470 14.6120 0.0150 MACHO
2449487.97890 14.6360 0.0150 MACHO
2449488.96400 14.6720 0.0150 MACHO
2449489.92770 14.6760 0.0150 MACHO
2449492.32110 14.6270 0.0150 MACHO
2449492.97200 14.6480 0.0150 MACHO
2449494.31560 14.6980 0.0160 MACHO
2449495.32770 14.6860 0.0150 MACHO
2449496.92940 14.6110 0.0150 MACHO
2449498.95650 14.6800 0.0160 MACHO
2449505.97450 14.5980 0.0150 MACHO
2449509.93540 14.6740 0.0150 MACHO
2449511.94750 14.6120 0.0150 MACHO
2449512.92060 14.6310 0.0150 MACHO
2449513.28500 14.6670 0.0150 MACHO
2449513.92700 14.6830 0.0150 MACHO
2449516.92000 14.6150 0.0150 MACHO
2449518.24640 14.6550 0.0160 MACHO
2449519.28050 14.6960 0.0160 MACHO
2449519.95620 14.6710 0.0150 MACHO
2449521.26510 14.5980 0.0160 MACHO
2449526.89260 14.6130 0.0150 MACHO
2449530.93540 14.5990 0.0150 MACHO
2449531.20190 14.5960 0.0160 MACHO
2449532.25430 14.6030 0.0150 MACHO
2449532.90510 14.6450 0.0150 MACHO
2449533.91250 14.6770 0.0150 MACHO
2449536.91070 14.6420 0.0160 MACHO
2449539.24420 14.6860 0.0150 MACHO
2449539.90700 14.6740 0.0150 MACHO
2449541.22940 14.6070 0.0150 MACHO
2449545.89200 14.5930 0.0150 MACHO
2449549.17480 14.6850 0.0170 MACHO
2449549.88270 14.6870 0.0160 MACHO
2449553.16380 14.6740 0.0150 MACHO
2449554.13420 14.6840 0.0160 MACHO
2449555.14910 14.6840 0.0160 MACHO
2449556.18570 14.6020 0.0160 MACHO
2449557.19470 14.6380 0.0150 MACHO
2449558.26820 14.6710 0.0150 MACHO
2449559.29510 14.6880 0.0150 MACHO
2449560.17740 14.6650 0.0160 MACHO
2449567.14930 14.6250 0.0150 MACHO
2449568.19180 14.6710 0.0150 MACHO
2449569.23040 14.6820 0.0150 MACHO
