    HIP   V     RA (deg)    Dec (deg)   Par(mas) B-V   M_V  Sp
   1803  6.39   5.71480399 -12.20958506  49.05  0.66   4.84 G3V         
   1813  7.57   5.75033827  22.37553791  24.68  0.64   4.53 F8          
   1837  8.74   5.81659898 -33.16783230  44.97  1.08   7.00 K3/K4V      
   1936  7.92   6.10623866 -27.02697608  55.53  0.94   6.64 K2V         
   1954  7.27   6.17641442 -53.98392993  36.15  0.68   5.06 G8IV+...    
   1955  6.81   6.18462337 -51.04324736  28.91  0.60   4.12 G3IV        
   2021  2.82   6.41334183 -77.25503511 133.78  0.62   3.45 G2IV        
   2072  3.93   6.55048418 -43.67990933  42.51  0.17   2.07 A7V         
   2120 10.52   6.72057388  70.14277688  61.39  1.46   9.46 M0          
   2235  6.05   7.08346734  10.19034140  27.51  0.45   3.25 F6Vawvar    
   2239  7.10   7.11006492 -29.28464781  17.88  0.50   3.36 F5V         
   2337  6.15   7.46586901 -14.86402653  23.62  0.39   3.02 F2/F3V      
   2355  5.20   7.53056566  29.75169567  17.62  0.27   1.43 A7III       
   2381  5.17   7.59446346 -23.78771429  18.08  0.13   1.46 A3V         
   2422  6.18   7.72581643  77.01948785  25.37  0.88   3.20 K0IV        
   2426 10.63   7.72954364  73.37047110  36.36  1.36   8.43             
   2453  7.37   7.80170012  69.78543643  23.95  0.50   4.27 F8          
   2472  4.76   7.85356695 -48.80356171  18.97  0.02   1.15 A0V         
   2484  4.36   7.88566992 -62.95808549  23.35 -0.06   1.20 B9V         
   2540  9.65   8.06139856 -63.09101331  38.85  1.37   7.60 M0          
   2578  5.07   8.18247614 -63.03137868  21.52  0.04   1.73 A0V         
   2710  6.90   8.61338867  -6.50369569  24.09  0.48   3.81 F2          
   2711  5.57   8.61506261 -52.37318294  39.03  0.47   3.53 F3IV-V      
   2712  7.38   8.62236013  47.91539661  21.20  0.55   4.01 F8          
   2729  9.56   8.71288230 -61.91601812  21.78  1.05   6.25 K5V         
   2742  8.02   8.75416804  42.69495016  34.52  0.87   5.71 K0IV        
   2743  8.55   8.75687799 -63.69382810  34.04  0.85   6.21 K3V         
   2787  5.94   8.88645754  -0.50545908  17.97  0.44   2.21 F5IV        
   2789  6.04   8.88881583 -54.82174811  12.88  1.00   1.59 K0IV        
   2790  7.45   8.89236491 -39.74588990  34.30  0.73   5.13 G8V         
   2802  5.51   8.92139531 -48.00066027  27.61  0.46   2.72 F6V         
   2832  6.32   8.97867189  13.20750244  26.59  0.52   3.44 F7V         
   2841  6.91   9.00332958 -59.71719483  16.71  0.37   3.02 F2V         
   2843  6.72   9.00717370  -5.57045671  21.19  0.47   3.35 F5          
   2847  7.77   9.01513090   7.15600861  19.45  0.56   4.21 F5          
   2848  8.40   9.01693123 -49.12780855  23.21  0.78   5.23 K0V         
   2852  6.06   9.02876061 -22.84221094  20.12  0.30   2.58 A5m...      
   2888  6.79   9.15680392 -49.13200111  22.79  0.64   3.58 G0/G1V      
   2944  6.99   9.34217573 -37.28798048  22.29  0.72   3.73 G8V         
   2981  7.53   9.48706616  47.40791719  20.92  0.46   4.13 F5          
   3006  7.11   9.56130273  84.67502086  24.80  0.55   4.08 F8          
   3008 10.48   9.56400804  52.33242473  43.40  1.42   8.67 M0          
   3010  7.43   9.57520040 -73.96249617  16.35  0.48   3.50 F5IV-V      
   3031  4.34   9.63958024  29.31236900  19.34  0.87   0.77 G5III...    
   3053  7.74   9.69033976 -85.41237038  26.42  0.75   4.85 G8V         
   3086  7.34   9.80336453   3.13320203  21.79  0.63   4.03 G2V         
   3093  5.88   9.84206107  21.25137390  90.03  0.85   5.65 K0V         
   3119  7.43   9.91921008  11.53230972  20.14  0.54   3.95 F8          
   3132  6.38   9.94897859  82.49357470  30.95  0.55   3.83 F6V:        
   3142  6.68   9.98996521 -33.96118617  24.12  0.52   3.59 F7V         
   3170  5.89  10.10273354 -59.45568115  39.26  0.56   3.86 G1V         
   3179  2.24  10.12661349  56.53740928  14.27  1.17  -1.99 K0II-IIIvar 
   3185  6.14  10.13501584 -23.80399309  35.02  0.72   3.86 G3/G5V      
   3206  7.36  10.20415817  40.18879925  57.90  0.94   6.17 K2V         
   3210  7.37  10.21444826 -53.20980159  21.91  0.54   4.07 F7V         
   3214  7.60  10.21930456  31.11650674  17.45  0.46   3.81 F4V         
   3236  6.52  10.29977784   9.35530818  29.99  0.53   3.90 F5          
   3261 10.58  10.37798776 -33.62495401  50.29  1.43   9.09             
   3267  6.95  10.39382484  65.86836175  20.99  0.58   3.56 F8          
   3277  5.72  10.44292464 -56.50145475  15.29  0.13   1.64 Ap          
   3293  7.03  10.50597309  40.68841020  20.38  0.45   3.58 F5          
   3330  5.38  10.61790472 -65.46813002  24.59  0.52   2.33 F6V         
   3352  5.99  10.67349903 -60.26268184  13.73  1.32   1.68 K5III       
   3369  6.63  10.71149682  -9.92163939  24.48  0.53   3.57 F8          
   3391  7.88  10.80233084 -37.98235299  22.70  0.72   4.66 G5V         
   3414  4.95  10.86704470  47.02463657  18.71  0.17   1.31 A5V         
   3418  8.73  10.88750898  33.84543280  48.16  1.13   7.14 K8          
   3419  2.04  10.89678452 -17.98668410  34.04  1.02  -0.30 K0III       
   3436  6.01  10.95870230 -12.01130744  18.76  1.11   2.38 K1III       
   3470  8.28  11.08845455 -85.89152517  15.37  0.57   4.21 F8/G0V      
   3479  7.78  11.11019153 -26.51604473  30.58  0.66   5.21 G5V         
   3497  6.55  11.16268466 -65.64771794  45.76  0.66   4.85 G3V         
   3505  5.22  11.18515547 -22.00633247  35.92  0.35   3.00 F0V         
   3509  6.90  11.19905823  67.15832122  21.80  0.49   3.59 F8          
   3521  5.94  11.23801546 -42.67632489  15.01  0.30   1.82 A7V         
   3527  6.15  11.24883557 -53.71490037  22.09  0.52   2.87 F7III       
